,timestamp,open,close,volume,binary_representation,MACD,Signal_Line,RSI,Upper_Band,Lower_Band
0,03:30,1.11892,1.11875,2354,0,0.0,0.0,,,
1,03:45,1.11875,1.1194,2296,1,5.1851851851747455e-05,1.0370370370349492e-05,,,
2,04:00,1.1194,1.119335,2537,0,8.670043262615224e-05,2.5636382821510044e-05,,,
3,04:15,1.119335,1.11908,3206,0,9.267353229147623e-05,3.904381271550328e-05,,,
4,04:30,1.11907,1.11909,2808,1,9.709492339915471e-05,5.0654034852233566e-05,,,
5,04:45,1.11909,1.11893,3370,0,8.668894864394261e-05,5.786101761057538e-05,,,
6,05:00,1.11894,1.118795,2724,0,6.677898040385877e-05,5.964461016923206e-05,,,
7,05:15,1.11879,1.11899,2300,1,6.597454397194724e-05,6.0910596929775105e-05,,,
8,05:30,1.11899,1.119225,2245,1,8.333887959977027e-05,6.539625346377413e-05,,,
9,05:45,1.11923,1.119415,2209,1,0.00011115038039521963,7.454707885006323e-05,,,
10,06:00,1.11942,1.1195,2368,1,0.00013845397354983469,8.732845779001752e-05,,,
11,06:15,1.1195,1.1194,2282,0,0.0001502906465504772,9.992089554210947e-05,,,
12,06:30,1.1194,1.119835,2225,1,0.00019255253398342553,0.00011844722323037269,,,
13,06:45,1.11983,1.11962,2010,0,0.00020631837132878417,0.00013602145285005499,65.93406593407184,,
14,07:00,1.11962,1.11981,1993,1,0.0002299090601738385,0.00015479897431481168,68.15068493151182,,
15,07:15,1.119815,1.11974,2038,0,0.00024018770174549786,0.0001718767198009489,57.26495726495945,,
16,07:30,1.11975,1.119845,1768,1,0.0002538796550937139,0.00018827730685950193,60.71428571428871,,
17,07:45,1.119855,1.1196,1999,0,0.00024216959398382087,0.00019905576428436573,60.97046413502015,,
18,08:00,1.1196,1.119555,2031,0,0.00022664553363860307,0.00020457371815521322,59.66735966736481,,
19,08:15,1.119555,1.11957,1931,1,0.00021309653440937382,0.00020627828140604534,64.15929203540088,1.1200579110040227,1.118690588995977
20,08:30,1.119575,1.119335,2110,0,0.00018130633234192395,0.00020128389159322106,61.44067796610393,1.1200216219433434,1.1187853780566566
21,08:45,1.119335,1.119505,2369,1,0.00016789456340182696,0.00019460602595494227,61.027837259103784,1.1200285281861282,1.1187889718138715
22,09:00,1.119505,1.11957,2608,1,0.00016065862405123532,0.00018781654557420088,57.96766743649227,1.120043294212866,1.118797705787134
23,09:15,1.119575,1.118855,3069,0,9.612153625160325e-05,0.00016947754370968135,39.59107806691008,1.1200651886604829,1.118753311339517
24,09:30,1.11886,1.119275,2760,1,7.796716220620503e-05,0.0001511754674089861,46.28099173553804,1.1200605534491608,1.118776446550839
25,09:45,1.119285,1.119275,2945,0,6.285513510850826e-05,0.00013351140094889055,47.86324786324877,1.1200399656725442,1.118831534327456
